subject,cluster_label,avg_pct_correct,n_responses,avg_time_seconds,avg_answer_changes
math,math-10,69.1,3428,229.2,1.77
math,math-1,69.4,12962,281.6,1.7
math,math-6,69.5,2023,205.4,1.6
math,math-7,69.6,5860,421.8,1.37
math,math-2,70.3,10592,215.3,1.61
math,math-11,71.7,13192,340.8,1.54
math,math-8,73.2,3176,265.8,1.63
math,math-12,74.3,6207,150.6,1.59
math,math-9,76.8,17019,288.4,1.35
math,math-4,77.7,3791,228.7,1.08
math,math-3,79.1,10573,187.2,1.43
math,math-5,79.3,14340,234.2,1.53
math,math-0,82.4,3919,335.4,1.79
reading,reading-17,66.2,851,55.1,2.18
reading,reading-18,69.3,2050,154.0,2.2
reading,reading-8,72.1,5324,120.9,2.15
reading,reading-0,73.8,3600,72.4,2.05
reading,reading-9,74.3,5116,66.2,2.13
reading,reading-12,74.4,1327,126.4,2.08
reading,reading-6,75.5,6576,183.1,2.15
reading,reading-5,75.7,21950,156.1,2.08
reading,reading-7,75.7,19756,135.3,2.11
reading,reading-3,75.7,7018,123.0,2.11
reading,reading-4,75.8,14406,173.2,2.13
reading,reading-1,76.1,16032,133.8,2.08
reading,reading-15,76.4,21751,161.1,2.07
reading,reading-10,76.5,8840,158.1,2.11
reading,reading-2,76.7,20893,146.8,2.21
reading,reading-11,76.9,20736,161.8,2.06
reading,reading-16,77.2,34952,168.7,2.1
reading,reading-19,77.5,16276,175.8,2.06
reading,reading-13,77.7,22098,156.0,2.07
reading,reading-14,78.6,2425,134.2,2.05
science,science-1,69.3,4991,117.0,1.74
science,science-6,70.3,1710,165.1,1.45
science,science-7,71.5,1491,134.4,0.91
science,science-9,72.6,73,26.2,0.0
science,science-14,73.3,3761,66.1,1.13
science,science-3,74.6,8637,135.9,1.97
science,science-12,75.7,1590,46.7,1.69
science,science-11,76.4,3098,132.8,1.83
science,science-8,77.0,8320,120.4,1.8
science,science-13,77.8,8450,116.0,1.86
science,science-2,78.0,1684,47.4,1.78
science,science-5,79.3,8575,84.6,1.91
science,science-15,79.7,900,488.8,0.8
science,science-10,80.3,2814,32.9,1.75
science,science-4,81.5,3551,70.7,1.61
science,science-0,90.7,1663,18.4,1.53
