cluster,num_questions,top_keywords,category_name
0,27,"value, expression, factor, polynomial, equivalent, solution, following, solve",
1,33,"pattern, numbers, list, greatest, number, rule, sequence, order",
2,37,"closest, shown, circle, area, circular, length, inches, cylinder",
3,81,"total, number, cost, ounces, time, money, tax, shirts",
4,42,"graph, best, function, represents, relation, line, solution, appears",
5,30,"spinner, arrow, probability, labeled, number, times, cube, fair",
6,49,"prism, rectangular, area, square, volume, height, inches, length",
7,46,"triangle, angle, measure, angles, similar, polygon, measures, shown",
8,29,"value, form, simplest, common, product, equivalent, factored, radical",
9,44,"solution, equation, set, equations, solutions, makes, value, true",
10,27,"statement, true, following, given, angles, valid, counterexample, statements",
11,32,"number, value, rounded, written, nearest, decimal, root, estimate",
12,17,"model, shaded, represent, represented, fraction, number, key, sentence",
13,35,"sentence, number, property, statement, true, step, illustrated, describes",
14,36,"figure, figures, lines, construction, polygon, congruent, diagram, appears",
15,64,"data, shows, number, graph, set, students, days, based",
16,37,"circle, point, value, given, equation, line, center, shown",
17,38,"function, domain, zero, log, range, following, graph, intercept",
18,26,"expression, equivalent, zero, equal, denominator, denominators, simplest, form",
19,32,"equation, table, represents, line, best, relationship, data, values",
