cluster,num_questions,top_keywords,category_name
0,36,"julia, joanna, story, callie, likely, paragraph, best, based",
1,52,"paragraph, author, idea, main, details, paragraphs, organized, purpose",
2,44,"sentence, paragraph, author, example, language, figurative, read, best",
3,36,"poem, lines, speaker, theme, likely, based, doing, summary",
4,21,"message, speaker, thieves, mirror, night, likely, plik, lemony",
5,15,"sentence, opinion, article, fact, states, selection, comparison, based",
6,15,"seaweed, coral, article, information, reefs, fish, ocean, algae",
7,21,"best, heading, paragraph, summary, sentence, summarizes, statement, idea",
8,30,"word, words, root, synonym, synonyms, read, paragraph, does",
9,13,"article, kinkajou, sea, based, otter, according, animal, purpose",
10,41,"likely, charlie, benjamin, jada, camp, summer, steve, bonnie",
11,32,"story, theme, best, sentence, conflict, important, main, narrator",
12,12,"sentence, word, means, gogh, van, manufacture, read, skilled",
13,45,"paragraph, word, means, mean, does, sentence, read, meaning",
14,29,"article, author, wrote, likely, reader, idea, supports, main",
15,12,"answered, question, paragraph, poem, article, section, end, clothing",
16,17,"flier, students, author, reason, store, library, school, sentence",
17,26,"hotel, visitors, lake, mountain, according, article, based, section",
18,14,"article, therapy, ostriches, included, reader, summary, based, paragraph",
19,30,"complete, selection, section, web, purpose, information, questions, panning",
