cluster,num_questions,top_keywords,category_name
0,5,"planets, solar, common, characteristic, regions, latitudes, hurricanes, equator",
1,19,"water, liquid, probe, comb, container, form, model, particles",
2,27,"student, data, investigation, students, different, best, table, statement",
3,15,"moles, solution, volume, stp, difference, gas, mass, heat",
4,15,"formula, compound, element, barium, electrons, structure, elements, half",
5,37,"organism, plant, organisms, likely, food, ecosystem, cell, classification",
6,20,"wave, waves, humans, sound, best, likely, ball, gravitational",
7,20,"scientists, rock, formed, rocks, earth, fossil, process, fossils",
8,12,"energy, coal, electromagnet, nonrenewable, virginia, action, reduce, using",
9,10,"dna, percentage, improved, engineering, universal, technology, genetic, solvent",
10,13,"tides, ocean, occur, water, moon, table, features, label",
11,18,"diagram, represents, correctly, place, chart, transferred, sperm, correct",
12,11,"reaction, equation, chemical, balanced, moles, type, shown, coefficient",
